# seq,elapsed_s,d_total_ns,d_detrended_ns,offset_ns,drift_ns_per_s,drift_sigma_ns,gm_sigma_ns,gm_a1_ppb,clock_error_ns,sync_state
36675,154.302,-36537003661829,-4203,50718,30950.4,30937.3,8.6,0.050,-426317,LOCKED
36676,155.303,-36537003657010,-26620,28301,30812.1,30328.3,8.4,0.043,-449590,LOCKED
36677,156.302,-36537003545272,49767,104688,30952.4,30799.9,8.5,0.043,-474254,LOCKED
36678,157.306,-36537003515645,44740,99661,31059.8,31312.8,8.5,0.043,-371515,LOCKED
36679,158.302,-36537003523819,5637,60558,31044.0,31258.8,8.5,0.036,-404824,LOCKED
36680,159.301,-36537003467754,28459,83380,31104.7,31485.8,8.5,0.036,-378382,LOCKED
36681,160.302,-36537003465348,380,55301,31073.6,31389.7,8.3,0.025,-407459,LOCKED
36682,161.302,-36537003463661,-25781,29140,30957.9,31108.9,8.4,0.025,-436392,LOCKED
36683,162.301,-36537003371003,31863,86784,31104.3,30616.3,8.4,0.015,-478851,LOCKED
36684,163.303,-36537003347784,21388,76309,31196.0,30466.0,8.4,0.014,-378713,LOCKED
36685,164.302,-36537003357522,-19063,35858,31204.0,30406.6,8.4,0.007,-416760,LOCKED
36686,165.303,-36537003357488,-47308,7613,31139.0,31046.7,8.5,-0.002,-446061,LOCKED
36687,166.303,-36537003240625,36191,91112,31188.1,31413.6,8.6,-0.022,-357460,LOCKED
36688,167.305,-36537003241171,5222,60143,31141.8,31126.7,8.5,-0.056,-387131,LOCKED
36689,168.303,-36537003249113,-32884,22037,31148.5,31047.8,8.4,-0.060,-421773,LOCKED
36690,169.303,-36537003210625,-25218,29703,31174.5,30759.3,8.5,-0.080,-415422,LOCKED
36691,170.303,-36537003198234,-41378,13543,31114.5,31253.3,8.5,-0.102,-430646,LOCKED
36692,171.303,-36537003074332,48776,103697,31162.6,31816.4,8.6,-0.142,-338403,LOCKED
36693,172.303,-36537003064301,24861,79782,31258.1,31741.8,8.6,-0.147,-355881,LOCKED
36694,173.304,-36537003063859,-4986,49935,31218.8,31660.4,8.7,-0.152,-385513,LOCKED
36695,174.304,-36537003053793,-24161,30760,31161.8,31809.7,8.6,-0.153,-406264,LOCKED
